[Sys Thread: 34] INFO | 11-13-2025 15:50:25.465 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 34] INFO | 11-13-2025 15:50:25.465 | Installed Printers Count :3
[Sys Thread: 34] INFO | 11-13-2025 15:50:25.465 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 34] INFO | 11-13-2025 15:50:25.465 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.73] ERROR | 11-13-2025 15:50:25.480 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] ERROR | 11-13-2025 15:50:25.761 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-13-2025 15:50:27.246 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 15:50:27.246 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-13-2025 15:50:27.246 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.683 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.683 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.683 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.683 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.683 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.729 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.729 | isValidUser:: True
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.729 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.854 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.854 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.854 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.854 | isValidUser:: True
[System: 192.168.1.99] INFO | 11-13-2025 15:50:31.854 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.73] ERROR | 11-13-2025 15:50:34.637 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 11-13-2025 15:50:34.637 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 15:50:37.306 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 11-13-2025 15:50:45.929 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 11-13-2025 15:50:45.945 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:50:45.945 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 11-13-2025 15:50:45.945 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 11-13-2025 15:50:45.960 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-13-2025 15:51:01.158 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 15:51:01.158 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-13-2025 15:51:01.158 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 11-13-2025 15:51:04.424 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 11-13-2025 15:51:04.424 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 11-13-2025 15:51:04.424 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 15:51:11.184 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 15:51:11.184 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 11-13-2025 15:51:15.874 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:51:15.874 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 11-13-2025 15:51:15.874 | Common:: DecodeBase64 START
