[Sys Thread: 66] INFO | 09-30-2025 13:23:19.306 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 66] INFO | 09-30-2025 13:23:19.306 | Installed Printers Count :3
[Sys Thread: 66] INFO | 09-30-2025 13:23:19.306 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 66] INFO | 09-30-2025 13:23:19.306 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.76] INFO | 09-30-2025 13:23:21.009 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 09-30-2025 13:23:21.009 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 09-30-2025 13:23:21.009 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 09-30-2025 13:23:51.111 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 09-30-2025 13:24:10.340 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 09-30-2025 13:24:10.340 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 09-30-2025 13:24:10.340 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 09-30-2025 13:24:10.386 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.326 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.326 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.326 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.326 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.326 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.404 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.420 | isValidUser:: True
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.420 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.498 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.498 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.498 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.498 | isValidUser:: True
[System: 192.168.1.99] INFO | 09-30-2025 13:25:06.498 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] INFO | 09-30-2025 13:25:11.352 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 09-30-2025 13:25:11.352 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 09-30-2025 13:25:11.352 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 09-30-2025 13:25:11.399 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.061 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.061 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.061 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.076 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.076 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.170 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.233 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.233 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.233 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.233 | isValidUser:: True
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.233 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:13.311 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.326 | Administration:: Entering InitLoginSession
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.358 | Administration:: Entering AllowSession  1
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.358 | Administration:: Entering AllowSession  end
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:13.373 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:13.529 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:13.561 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.561 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:13.561 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:13.779 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:13.779 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.020 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.067 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.145 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.161 | Administration:: Entering GetUserDetails
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.239 | Administration:: Exiting GetUserDetails
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.239 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.239 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.317 | Administration:: Entering GetUserDetails
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.348 | Administration:: Exiting GetUserDetails
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.364 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.473 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.473 | ReportLayout:: GetDataSet START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.504 | ReportLayout:: GetDataSet END
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.504 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.536 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.536 | ReportLayout:: GetDataSet START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.551 | ReportLayout:: GetDataSet END
[System: 192.168.1.99] ERROR | 09-30-2025 13:25:14.553 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.569 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.569 | ReportLayout:: GetDataSet START
[System: 192.168.1.99] INFO | 09-30-2025 13:25:14.913 | ReportLayout:: GetDataSet END
