[Sys Thread: 1] INFO | 08-08-2025 18:47:08.631 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 08-08-2025 18:47:08.631 | Installed Printers Count :3
[Sys Thread: 1] INFO | 08-08-2025 18:47:08.631 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 08-08-2025 18:47:08.631 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.99] INFO | 08-08-2025 18:47:08.928 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:08.928 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:08.928 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:08.928 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:08.944 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.006 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.022 | isValidUser:: True
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.022 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.256 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.272 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.272 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.272 | isValidUser:: True
[System: 192.168.1.99] INFO | 08-08-2025 18:47:09.272 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] INFO | 08-08-2025 18:47:32.856 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:32.856 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:32.856 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:32.856 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:32.856 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 08-08-2025 18:47:33.715 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 08-08-2025 18:47:33.856 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:33.856 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 08-08-2025 18:47:33.856 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 08-08-2025 18:47:33.871 | isValidUser:: True
[System: 192.168.1.99] INFO | 08-08-2025 18:47:33.871 | AdminController:: Exiting LDAPUserCheck
