[Sys Thread: 64] INFO | 11-12-2025 19:13:08.922 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 64] INFO | 11-12-2025 19:13:08.922 | Installed Printers Count :3
[Sys Thread: 64] INFO | 11-12-2025 19:13:08.938 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 64] INFO | 11-12-2025 19:13:08.938 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.76] ERROR | 11-12-2025 19:13:09.391 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 11-12-2025 19:13:09.438 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 11-12-2025 19:13:09.438 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 11-12-2025 19:13:09.438 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 11-12-2025 19:13:09.657 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.74] INFO | 11-12-2025 19:13:11.297 | Common:: DecodeBase64 START
[System: 192.168.1.74] INFO | 11-12-2025 19:13:11.297 | Common:: deCodeLevel1 START
[System: 192.168.1.74] INFO | 11-12-2025 19:13:11.297 | Common:: DecodeBase64 START
[System: 192.168.1.74] ERROR | 11-12-2025 19:13:11.344 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.765 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.765 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.765 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.765 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.765 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.843 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.859 | isValidUser:: True
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.859 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.906 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.906 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.906 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.906 | isValidUser:: True
[System: 192.168.1.56] INFO | 11-12-2025 19:13:13.906 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.54] INFO | 11-12-2025 19:13:15.843 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 11-12-2025 19:13:15.843 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 11-12-2025 19:13:15.843 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 11-12-2025 19:13:15.921 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.530 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.530 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.530 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.530 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.530 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.577 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.671 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.671 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.671 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.671 | isValidUser:: True
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.671 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:16.749 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.749 | Administration:: Entering InitLoginSession
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.780 | Administration:: Entering AllowSession  1
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.780 | Administration:: Entering AllowSession  end
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:16.780 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:16.858 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:16.874 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.56] INFO | 11-12-2025 19:13:16.874 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:16.889 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:17.061 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:17.077 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:17.282 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:17.313 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:17.329 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:17.345 | Administration:: Entering GetUserDetails
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:17.391 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:17.391 | Administration:: Exiting GetUserDetails
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:17.407 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:17.470 | Administration:: Entering GetUserDetails
[System: 192.168.1.56] INFO | 11-12-2025 19:13:17.516 | Administration:: Exiting GetUserDetails
[System: 192.168.1.56] ERROR | 11-12-2025 19:13:17.516 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 11-12-2025 19:13:17.610 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 11-12-2025 19:13:17.641 | ReportLayout:: GetDataSet END
