[Sys Thread: 1] INFO | 07/03/2026 17:06:53.971 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 07/03/2026 17:06:53.971 | Installed Printers Count :3
[Sys Thread: 1] INFO | 07/03/2026 17:06:53.971 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 07/03/2026 17:06:53.971 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.619 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.619 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.619 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.619 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.619 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.713 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.713 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.713 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.838 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.838 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.838 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.838 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.838 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.969 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.969 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.969 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.969 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.969 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.985 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.985 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/03/2026 17:06:57.985 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/03/2026 17:06:58.001 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:58.001 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/03/2026 17:06:58.001 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/03/2026 17:06:58.001 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/03/2026 17:06:58.001 | AdminController:: Exiting LDAPUserCheck
