[Sys Thread: 1] INFO | 11-13-2025 09:34:51.814 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 11-13-2025 09:34:51.830 | Installed Printers Count :3
[Sys Thread: 1] INFO | 11-13-2025 09:34:51.830 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 11-13-2025 09:34:51.830 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.79] ERROR | 11-13-2025 09:34:52.392 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 11-13-2025 09:41:16.205 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 11-13-2025 09:42:16.153 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 11-13-2025 09:43:16.140 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.895 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.895 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.895 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.895 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.895 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.958 | Administration:: Entering LDAPChecking
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.958 | isValidUser:: True
[System: 192.168.1.79] INFO | 11-13-2025 09:46:00.958 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.79] INFO | 11-13-2025 09:46:01.020 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:01.020 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:01.020 | Administration:: Entering LDAPChecking
[System: 192.168.1.79] INFO | 11-13-2025 09:46:01.020 | isValidUser:: True
[System: 192.168.1.79] INFO | 11-13-2025 09:46:01.020 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.79] INFO | 11-13-2025 09:46:12.870 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:13.261 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:13.261 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:13.261 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:13.261 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.79] INFO | 11-13-2025 09:46:17.960 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.007 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.007 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.007 | Administration:: Entering LDAPChecking
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.007 | isValidUser:: True
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.007 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:18.288 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.303 | Administration:: Entering InitLoginSession
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.335 | Administration:: Entering AllowSession  1
[System: 192.168.1.79] INFO | 11-13-2025 09:46:18.335 | Administration:: Entering AllowSession  end
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:18.335 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:18.678 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:29.177 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.79] INFO | 11-13-2025 09:46:29.193 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:29.646 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-13-2025 09:46:43.525 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:43.525 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:44.150 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:44.243 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-13-2025 09:46:44.306 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
