[Sys Thread: 52] INFO | 10-07-2025 17:27:00.111 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 52] INFO | 10-07-2025 17:27:00.111 | Installed Printers Count :3
[Sys Thread: 52] INFO | 10-07-2025 17:27:00.111 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 52] INFO | 10-07-2025 17:27:00.111 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.048 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.048 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 17:27:02.048 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 17:27:02.048 | Common:: deCodeLevel1 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.048 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 10-07-2025 17:27:02.048 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.048 | Common:: deCodeLevel1 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.048 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.048 | Common:: DecodeBase64 START
[System: 192.168.1.170] ERROR | 10-07-2025 17:27:02.407 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 10-07-2025 17:27:02.485 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 17:27:02.485 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 10-07-2025 17:27:02.485 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 10-07-2025 17:27:02.532 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 10-07-2025 17:27:02.532 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.547 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.547 | Common:: deCodeLevel1 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.547 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.547 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.547 | Common:: deCodeLevel1 START
[System: 192.168.1.170] INFO | 10-07-2025 17:27:02.547 | Common:: DecodeBase64 START
[System: 192.168.1.170] ERROR | 10-07-2025 17:27:02.547 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 10-07-2025 17:27:02.813 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 10-07-2025 17:27:02.829 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 10-07-2025 17:27:02.891 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 10-07-2025 17:27:03.001 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
