[Sys Thread: 1] INFO | 09-29-2025 17:35:11.671 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 09-29-2025 17:35:11.671 | Installed Printers Count :3
[Sys Thread: 1] INFO | 09-29-2025 17:35:11.671 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 09-29-2025 17:35:11.671 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.545 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.545 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.545 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.545 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.545 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.623 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.623 | isValidUser:: True
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.623 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.733 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.733 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.733 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.733 | isValidUser:: True
[System: 192.168.1.99] INFO | 09-29-2025 17:35:14.733 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] INFO | 09-29-2025 17:35:21.520 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:21.520 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:21.520 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:21.520 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:21.520 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.307 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.357 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.357 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.357 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.357 | isValidUser:: True
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.357 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:22.561 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.592 | Administration:: Entering InitLoginSession
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.608 | Administration:: Entering AllowSession  1
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.608 | Administration:: Entering AllowSession  end
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:22.608 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:22.780 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:22.795 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:22.811 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:22.811 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.99] INFO | 09-29-2025 17:35:24.019 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:24.019 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:24.277 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:24.355 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:24.402 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:24.417 | Administration:: Entering GetUserDetails
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:24.543 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:24.952 | Administration:: Exiting GetUserDetails
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:24.952 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.015 | Administration:: Entering GetUserDetails
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.046 | Administration:: Exiting GetUserDetails
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:25.046 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.174 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.174 | ReportLayout:: GetDataSet START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.799 | ReportLayout:: GetDataSet END
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:25.799 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.845 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.845 | ReportLayout:: GetDataSet START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.877 | ReportLayout:: GetDataSet END
[System: 192.168.1.99] ERROR | 09-29-2025 17:35:25.892 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.892 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:25.892 | ReportLayout:: GetDataSet START
[System: 192.168.1.99] INFO | 09-29-2025 17:35:26.159 | ReportLayout:: GetDataSet END
