[Sys Thread: 45] INFO | 07/06/2026 17:24:18.725 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 45] INFO | 07/06/2026 17:24:18.725 | Installed Printers Count :3
[Sys Thread: 45] INFO | 07/06/2026 17:24:18.725 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 45] INFO | 07/06/2026 17:24:18.725 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.54] INFO | 07/06/2026 17:24:19.334 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 17:24:19.381 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07/06/2026 17:24:19.381 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 17:24:29.430 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 17:24:29.430 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07/06/2026 17:24:29.430 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07/06/2026 17:24:29.508 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:24:39.455 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07/06/2026 17:25:13.414 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 17:25:13.414 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07/06/2026 17:25:13.414 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07/06/2026 17:25:23.432 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:25:23.479 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:26:04.454 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07/06/2026 17:37:14.375 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 17:37:14.375 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07/06/2026 17:37:14.375 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07/06/2026 17:37:24.394 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:37:34.423 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:37:34.423 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07/06/2026 17:37:53.875 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 17:37:53.877 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07/06/2026 17:37:53.877 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07/06/2026 17:38:03.888 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:38:03.888 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:53:54.508 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 17:54:04.524 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07/06/2026 18:00:42.570 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 18:00:42.570 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07/06/2026 18:00:42.570 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07/06/2026 18:01:02.613 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07/06/2026 18:01:02.613 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.176 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.176 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.176 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.176 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.176 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.238 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.238 | isValidUser:: True
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.238 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.254 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.254 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.254 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07/06/2026 18:01:33.254 | isValidUser:: True
