[System: 192.168.1.77] INFO | 07-28-2025 13:32:00.006 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:00.053 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:15.211 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:15.211 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:15.211 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:15.258 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:21.205 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:21.205 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:21.205 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:21.268 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.116 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.147 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.178 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.194 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.194 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.194 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.226 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.226 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.257 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.257 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.257 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.257 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.288 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.288 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.319 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.319 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.319 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.319 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:32:34.350 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.350 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:34.382 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:36.209 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:36.209 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:36.209 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:36.256 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.201 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.232 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.248 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.264 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.264 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.264 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.77] INFO | 07-28-2025 13:32:41.295 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.295 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 07-28-2025 13:32:41.326 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
