[System: 192.168.1.120] INFO | 07/01/2026 16:11:54.492 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:11:54.492 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:11:54.492 | Common:: DecodeBase64 START
[System: 192.168.1.120] ERROR | 07/01/2026 16:11:54.523 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:12:01.495 | Common:: IsBase64 Checking START
[System: 192.168.1.120] ERROR | 07/01/2026 16:12:01.604 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:12:14.540 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:14.540 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:14.540 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:12:14.571 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:12:24.535 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:24.535 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:24.535 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:12:24.566 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:12:34.638 | Common:: IsBase64 Checking START
[System: 192.168.1.99] ERROR | 07/01/2026 16:12:34.638 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:12:42.694 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:12:43.487 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:43.487 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:43.487 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:12:43.534 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:12:48.537 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:48.537 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:48.537 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:48.553 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:48.553 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:12:48.553 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:12:48.584 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:12:48.600 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:13:15.526 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:15.526 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:15.542 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:13:15.573 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:13:24.495 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:13:24.495 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:13:24.495 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:13:24.526 | Common:: IsBase64 Checking START
[System: 192.168.1.120] ERROR | 07/01/2026 16:13:24.526 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:13:24.542 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:13:25.528 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:25.528 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:25.528 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:13:25.559 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:13:34.639 | Common:: IsBase64 Checking START
[System: 192.168.1.99] ERROR | 07/01/2026 16:13:35.204 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:13:43.498 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:43.498 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:43.498 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:13:43.533 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:13:48.540 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:48.540 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:48.540 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:48.556 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:48.556 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:13:48.556 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:13:48.587 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:13:48.603 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:16.532 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:14:16.532 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:16.532 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:16.532 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:16.579 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:14:24.533 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:14:24.533 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:14:24.533 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:14:24.533 | Common:: IsBase64 Checking START
[System: 192.168.1.120] ERROR | 07/01/2026 16:14:24.533 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:14:24.564 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:25.567 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:26.549 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:14:26.549 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:26.549 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:26.549 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:26.596 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:14:34.638 | Common:: IsBase64 Checking START
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:34.638 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:14:36.023 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:39.550 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:14:43.494 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:43.494 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:43.494 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:43.525 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:14:45.651 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:14:48.533 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:48.533 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:48.533 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:48.533 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:48.533 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:14:48.533 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:48.564 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:14:48.611 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:14:53.642 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:14:53.642 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:14:53.642 | Common:: DecodeBase64 START
[System: 192.168.1.120] ERROR | 07/01/2026 16:14:53.689 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:15:17.531 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:17.531 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:17.531 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:15:17.578 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:15:19.607 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:15:19.645 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:15:19.661 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:19.661 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:19.661 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.120] INFO | 07/01/2026 16:15:19.661 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.120] ERROR | 07/01/2026 16:15:19.661 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:15:27.530 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:27.530 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:27.530 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:15:27.577 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:15:34.646 | Common:: IsBase64 Checking START
[System: 192.168.1.99] ERROR | 07/01/2026 16:15:34.662 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:15:43.493 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:43.493 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:43.493 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:15:43.539 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07/01/2026 16:15:48.524 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:48.540 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:48.540 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:48.556 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:48.556 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07/01/2026 16:15:48.556 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07/01/2026 16:15:48.587 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07/01/2026 16:15:48.603 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.815 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.815 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.815 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.815 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.830 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.893 | Administration:: Entering LDAPChecking
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.893 | isValidUser:: True
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.893 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.908 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.908 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.908 | Administration:: Entering LDAPChecking
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.908 | isValidUser:: True
[System: 192.168.1.120] INFO | 07/01/2026 16:15:58.908 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.278 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.278 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.278 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.278 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.278 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.309 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.370 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.370 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.370 | Administration:: Entering LDAPChecking
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.370 | isValidUser:: True
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.370 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.381 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.397 | Administration:: Entering InitLoginSession
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.413 | Administration:: Entering AllowSession  1
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.413 | Administration:: Entering AllowSession  end
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.413 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.428 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.428 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.428 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.444 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.647 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.647 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.860 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.922 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.938 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.954 | Administration:: Entering GetUserDetails
[System: 192.168.1.120] INFO | 07/01/2026 16:16:07.969 | Administration:: Exiting GetUserDetails
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.969 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/01/2026 16:16:07.985 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/01/2026 16:16:08.032 | Administration:: Entering GetUserDetails
