[Sys Thread: 13] INFO | 07/08/2026 13:20:58.354 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 13] INFO | 07/08/2026 13:20:58.354 | Installed Printers Count :3
[Sys Thread: 13] INFO | 07/08/2026 13:20:58.354 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 13] INFO | 07/08/2026 13:20:58.354 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.79] INFO | 07/08/2026 13:20:58.791 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:20:58.791 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:20:58.791 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:20:58.791 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 07/08/2026 13:20:58.791 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.010 | Administration:: Entering LDAPChecking
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.010 | isValidUser:: True
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.010 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.150 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.150 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.150 | Administration:: Entering LDAPChecking
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.150 | isValidUser:: True
[System: 192.168.1.79] INFO | 07/08/2026 13:20:59.150 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.659 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.659 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.659 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.659 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.659 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.799 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.862 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.862 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.862 | Administration:: Entering LDAPChecking
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.862 | isValidUser:: True
[System: 192.168.1.79] INFO | 07/08/2026 13:21:22.862 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.112 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:23.205 | Administration:: Entering InitLoginSession
[System: 192.168.1.79] INFO | 07/08/2026 13:21:23.221 | Administration:: Entering AllowSession  1
[System: 192.168.1.79] INFO | 07/08/2026 13:21:23.221 | Administration:: Entering AllowSession  end
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.221 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.330 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.346 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.79] INFO | 07/08/2026 13:21:23.362 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.393 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.472 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.534 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:23.659 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.659 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.942 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.973 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:23.989 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:23.989 | Administration:: Entering GetUserDetails
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.036 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.036 | Administration:: Exiting GetUserDetails
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.036 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.098 | Administration:: Entering GetUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.145 | Administration:: Exiting GetUserDetails
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.145 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.258 | ReportLayout:: GetDataSet START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.305 | ReportLayout:: GetDataSet END
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.305 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.337 | ReportLayout:: GetDataSet START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.352 | ReportLayout:: GetDataSet END
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.352 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.352 | ReportLayout:: GetDataSet START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.415 | ReportLayout:: GetDataSet END
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.430 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.430 | ReportLayout:: GetDataSet START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.430 | ReportLayout:: GetDataSet END
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.446 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.462 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.462 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.462 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.462 | GetUploadedImage  -- Start::  
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.462 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:24.462 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.462 | GetUploadedImage -- isYearMonthWiseFolder  -- ::  False
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.462 | GetUploadedImage -- FolderPath is found empty or not  -- ::  
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.462 | FtpPort  -- ::  0
[System: 192.168.1.79] DEBUG | 07/08/2026 13:21:24.462 | ftpDownload -- start  -- ::  
[System: 192.168.1.79] DEBUG | 07/08/2026 13:21:24.462 | ftpServerFile    :: ftp://192.168.1.132/FTPUploads/TT/fd403166-4104-4ac6-a298-19b759dba4a2.jpg
[System: 192.168.1.79] DEBUG | 07/08/2026 13:21:24.462 | ftpuserid     ::javed
[System: 192.168.1.79] DEBUG | 07/08/2026 13:21:24.462 | ftpDownload -- client.DownloadData(ftpServerFile)  -- ::  
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.493 | ftpDownload ERROR Exception:: The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.493 | GetUploadedImage  -- End::  
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.508 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.571 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.809 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:24.856 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.053 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.069 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.084 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.100 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.100 | setAuditPrint:: setAuditPrint
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.115 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.209 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.256 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:21:35.303 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:35.303 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:21:35.318 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:21:35.334 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:12.549 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:12.564 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:12.580 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:12.597 | setAuditPrint:: setAuditPrint
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:12.599 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:12.614 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:22:12.652 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:22:12.668 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:22:12.668 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:12.690 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:23.596 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:23.627 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:23.643 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:23.643 | setAuditPrint:: setAuditPrint
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:23.659 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:23.674 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:22:23.721 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:22:23.721 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:22:23.721 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:23.737 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:22:24.459 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07/08/2026 13:22:24.459 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07/08/2026 13:22:24.459 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:24.540 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:33.479 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:33.479 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:33.754 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.035 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.066 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.066 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.082 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.098 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.176 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.191 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.207 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.472 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:34.551 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:39.988 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.326 | VPT:: Start : Waseem.
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.326 | Common:: IsBase64 Checking START
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.326 | VPT:: Start : Waseem1 
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.326 | Administration:: Entering GetUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.341 | Administration:: Exiting GetUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.341 | Administration:: Entering GetUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.372 | Administration:: Exiting GetUserDetails
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.372 | NotificationHandler:: Inside GetGlobalPreferences
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.435 | NotificationHandler:: Success: GetGlobalPreferences
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.451 | PrintLayout:: Inside GetPrintLayout
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.451 | VPT:: Start : Waseem2
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.482 | ViewNoteViewModel::Entering ViewNoteViewModel with Parent=PACT.VIEWMODEL.AddEditDocumentViewModel
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.513 | AddNoteViewModel::Entering AddNoteViewModel with Parent=PACT.VIEWMODEL.AddEditDocumentViewModel
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.513 | Loading Resources
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:42.575 | WebUIResources CNT: 3257
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:42.607 | WebUIResources CNT: 3191
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:42.654 | WebUIResources CNT: 3243
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.669 | AddNoteViewModel::Exiting OnSaveNote
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.669 | ViewNoteViewModel::Exiting ViewNoteViewModel 
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.685 | AddressViewModel::Entering AddressViewModel with Parent=PACT.VIEWMODEL.AddEditDocumentViewModel
[System: 192.168.1.79] INFO | 07/08/2026 13:22:42.685 | AddressViewModel::Exiting AddressViewModel
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:43.504 | VPT:: Default Printer - Before : Microsoft Print to PDF
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:43.536 | VPT:: Default Printer - After : Microsoft Print to PDF
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:44.537 | PrintableArea :: Width-850, Height-1100, HardMarginX-0, HardMarginY-0, Landscape-False
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:44.537 | PageWidth: 850, PageHeight:1100
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:45.660 | PrintableArea :: Width-850, Height-1100, HardMarginX-0, HardMarginY-0, Landscape-False
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:45.660 | PageWidth: 850, PageHeight:1100
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:46.798 | PrintableArea :: Width-850, Height-1100, HardMarginX-0, HardMarginY-0, Landscape-False
[System: 192.168.1.79] DEBUG | 07/08/2026 13:22:46.798 | PageWidth: 850, PageHeight:1100
[System: 192.168.1.79] INFO | 07/08/2026 13:22:46.798 | Info: VoucherPrinter : PrintDocument()... ActSelPrinter : Microsoft Print to PDF
[System: 192.168.1.79] INFO | 07/08/2026 13:22:46.798 | Info: VoucherPrinter : PrintDocument()... DocumentPrint Starting..
[System: 192.168.1.79] INFO | 07/08/2026 13:22:47.485 | Info: VoucherPrinter : PrintDocument()... DocumentPrint End..
[System: 192.168.1.79] INFO | 07/08/2026 13:22:47.485 | Info: VoucherPrinter : PrintDocument()... Checking ActSelPrinter,DSCExists,DSCUserName,oDSImg ..start
[System: 192.168.1.79] INFO | 07/08/2026 13:22:48.489 | VPT:: Start : Waseem4
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:48.489 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:48.536 | setAuditPrint:: setAuditPrint
[System: 192.168.1.79] ERROR | 07/08/2026 13:22:48.567 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07/08/2026 13:23:24.458 | Common:: DecodeBase64 START
