[Sys Thread: 34] INFO | 10-15-2025 11:30:43.522 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 34] INFO | 10-15-2025 11:30:43.522 | Installed Printers Count :3
[Sys Thread: 34] INFO | 10-15-2025 11:30:43.538 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 34] INFO | 10-15-2025 11:30:43.538 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.928 | Common:: DecodeBase64 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.928 | Common:: deCodeLevel1 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.928 | Common:: DecodeBase64 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.928 | Common:: IsBase64 Checking START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.928 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.959 | Administration:: Entering LDAPChecking
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.959 | isValidUser:: True
[System: 192.168.1.55] INFO | 10-15-2025 11:30:44.959 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.55] INFO | 10-15-2025 11:30:45.006 | Common:: IsBase64 Checking START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:45.006 | Common:: DecodeBase64 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:45.006 | Administration:: Entering LDAPChecking
[System: 192.168.1.55] INFO | 10-15-2025 11:30:45.006 | isValidUser:: True
[System: 192.168.1.55] INFO | 10-15-2025 11:30:45.006 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.55] INFO | 10-15-2025 11:30:49.943 | Common:: DecodeBase64 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:49.943 | Common:: deCodeLevel1 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:49.943 | Common:: DecodeBase64 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:49.943 | Common:: IsBase64 Checking START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:49.943 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.083 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.130 | Common:: IsBase64 Checking START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.130 | Common:: DecodeBase64 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.130 | Administration:: Entering LDAPChecking
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.130 | isValidUser:: True
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.130 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.255 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.271 | Administration:: Entering InitLoginSession
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.286 | Administration:: Entering AllowSession  1
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.286 | Administration:: Entering AllowSession  end
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.286 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.396 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.411 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.411 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.536 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.567 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.567 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.833 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.880 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.895 | Administration:: Entering GetUserDetails
[System: 192.168.1.55] INFO | 10-15-2025 11:30:50.927 | Administration:: Exiting GetUserDetails
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:50.927 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.036 | Administration:: Entering GetUserDetails
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.067 | Administration:: Exiting GetUserDetails
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:51.067 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.270 | ReportLayout:: GetDataSet START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.302 | ReportLayout:: GetDataSet END
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:51.302 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.348 | ReportLayout:: GetDataSet START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.348 | ReportLayout:: GetDataSet END
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:51.348 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.364 | ReportLayout:: GetDataSet START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.380 | ReportLayout:: GetDataSet END
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:51.395 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.395 | Common:: DecodeBase64 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.395 | Common:: deCodeLevel1 START
[System: 192.168.1.55] INFO | 10-15-2025 11:30:51.395 | Common:: DecodeBase64 START
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:51.442 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:51.755 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.55] ERROR | 10-15-2025 11:30:51.770 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
