[Sys Thread: 12] INFO | 07/07/2026 16:05:35.103 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 12] INFO | 07/07/2026 16:05:35.119 | Installed Printers Count :3
[Sys Thread: 12] INFO | 07/07/2026 16:05:35.119 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 12] INFO | 07/07/2026 16:05:35.119 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.588 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.588 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.588 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.588 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.682 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.916 | Administration:: Entering LDAPChecking
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.916 | isValidUser:: True
[System: 192.168.1.120] INFO | 07/07/2026 16:05:35.916 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.120] INFO | 07/07/2026 16:05:36.072 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:36.072 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:36.072 | Administration:: Entering LDAPChecking
[System: 192.168.1.120] INFO | 07/07/2026 16:05:36.072 | isValidUser:: True
[System: 192.168.1.120] INFO | 07/07/2026 16:05:36.072 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.291 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.291 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.291 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.291 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.291 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.447 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.510 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.510 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.510 | Administration:: Entering LDAPChecking
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.510 | isValidUser:: True
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.510 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:39.744 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.854 | Administration:: Entering InitLoginSession
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.869 | Administration:: Entering AllowSession  1
[System: 192.168.1.120] INFO | 07/07/2026 16:05:39.869 | Administration:: Entering AllowSession  end
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:39.869 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:39.963 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.216 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.216 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:41.216 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.120] INFO | 07/07/2026 16:05:41.497 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.497 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.812 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.827 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.843 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:41.859 | Administration:: Entering GetUserDetails
[System: 192.168.1.120] INFO | 07/07/2026 16:05:41.890 | Administration:: Exiting GetUserDetails
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.890 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.905 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:41.952 | Administration:: Entering GetUserDetails
[System: 192.168.1.120] INFO | 07/07/2026 16:05:41.968 | Administration:: Exiting GetUserDetails
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:41.968 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.062 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.093 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:42.093 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.140 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.140 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:42.155 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.155 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.202 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:42.202 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.202 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.218 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:42.218 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.233 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.233 | Common:: deCodeLevel1 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:42.233 | Common:: DecodeBase64 START
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:42.515 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:42.577 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:42.593 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:49.177 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:49.225 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:49.225 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:49.225 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.120] INFO | 07/07/2026 16:05:49.240 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:49.240 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:51.677 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:51.693 | Cases:: Inside GetActivitiesCustomFields
[System: 192.168.1.120] INFO | 07/07/2026 16:05:51.724 | Cases:: Success: DBH.GetActivitiesCustomFields 
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:51.724 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:51.740 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:51.740 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:51.740 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:51.755 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:51.755 | ReportLayout:: GetDataSet START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:53.052 | ReportLayout:: GetDataSet END
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:53.052 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:53.208 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] ERROR | 07/07/2026 16:05:53.286 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.120] INFO | 07/07/2026 16:05:53.318 | Common:: IsBase64 Checking START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:53.318 | Common:: DecodeBase64 START
[System: 192.168.1.120] INFO | 07/07/2026 16:05:53.318 | Administration:: Entering GetCostCenterListViewData
