[Sys Thread: 35] INFO | 10-14-2025 16:30:30.507 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 35] INFO | 10-14-2025 16:30:30.507 | Installed Printers Count :3
[Sys Thread: 35] INFO | 10-14-2025 16:30:30.522 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 35] INFO | 10-14-2025 16:30:30.522 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.146] ERROR | 10-14-2025 16:30:36.360 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.146] ERROR | 10-14-2025 16:30:36.625 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 10-14-2025 16:30:36.656 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 10-14-2025 16:30:36.656 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 10-14-2025 16:30:36.656 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.656 | Common:: IsBase64 Checking START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.656 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.656 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.672 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.146] ERROR | 10-14-2025 16:30:36.672 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.734 | Common:: IsBase64 Checking START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.734 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.734 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.734 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.146] ERROR | 10-14-2025 16:30:36.734 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.750 | Common:: IsBase64 Checking START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.766 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.766 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.766 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.146] ERROR | 10-14-2025 16:30:36.766 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.844 | Common:: IsBase64 Checking START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.844 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.844 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.844 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.146] ERROR | 10-14-2025 16:30:36.859 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.875 | Common:: IsBase64 Checking START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.875 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.875 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.146] INFO | 10-14-2025 16:30:36.875 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.146] ERROR | 10-14-2025 16:30:36.890 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.146] INFO | 10-14-2025 16:30:38.924 | Common:: IsBase64 Checking START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:38.924 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 16:30:38.924 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.146] INFO | 10-14-2025 16:30:38.924 | Administration:: Exiting GetCostCenterListViewData
