[Sys Thread: 1] INFO | 10-07-2025 11:11:49.476 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 10-07-2025 11:11:49.476 | Installed Printers Count :3
[Sys Thread: 1] INFO | 10-07-2025 11:11:49.492 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 10-07-2025 11:11:49.492 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.741 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.741 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.741 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.741 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.741 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.850 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.850 | isValidUser:: True
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.850 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.959 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.959 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.959 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.959 | isValidUser:: True
[System: 192.168.1.77] INFO | 10-07-2025 11:11:52.959 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] INFO | 10-07-2025 11:11:59.192 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:59.192 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:59.192 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:59.192 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 10-07-2025 11:11:59.192 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.389 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.452 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.452 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.452 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.452 | isValidUser:: True
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.452 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] ERROR | 10-07-2025 11:12:00.749 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.842 | Administration:: Entering InitLoginSession
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.858 | Administration:: Entering AllowSession  1
[System: 192.168.1.77] INFO | 10-07-2025 11:12:00.858 | Administration:: Entering AllowSession  end
[System: 192.168.1.77] ERROR | 10-07-2025 11:12:00.858 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 10-07-2025 11:12:01.717 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 10-07-2025 11:12:01.732 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.77] INFO | 10-07-2025 11:12:01.748 | RibbonGenerator:: Inside GetRibbonView
