[Sys Thread: 34] INFO | 08-08-2025 15:21:01.845 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 34] INFO | 08-08-2025 15:21:01.845 | Installed Printers Count :3
[Sys Thread: 34] INFO | 08-08-2025 15:21:01.861 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 34] INFO | 08-08-2025 15:21:01.861 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.77] INFO | 08-08-2025 15:21:02.408 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 08-08-2025 15:21:02.408 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 08-08-2025 15:21:02.408 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.305 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.305 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.305 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.305 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.305 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.445 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.445 | isValidUser:: True
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.445 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.664 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.664 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.664 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.664 | isValidUser:: True
[System: 192.168.1.56] INFO | 08-08-2025 15:21:05.664 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] ERROR | 08-08-2025 15:21:12.475 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.100 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.100 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.100 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.100 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.100 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.116 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.116 | isValidUser:: False
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.116 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.163 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.163 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.163 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.163 | isValidUser:: True
[System: 192.168.1.56] INFO | 08-08-2025 15:21:14.163 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.56] INFO | 08-08-2025 15:21:18.896 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:18.896 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 08-08-2025 15:21:18.896 | Common:: DecodeBase64 START
