[Sys Thread: 1] INFO | 10-03-2025 19:41:36.409 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 10-03-2025 19:41:36.409 | Installed Printers Count :3
[Sys Thread: 1] INFO | 10-03-2025 19:41:36.424 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 10-03-2025 19:41:36.424 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.737 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.737 | Common:: deCodeLevel1 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.737 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.737 | Common:: IsBase64 Checking START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.737 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.830 | Administration:: Entering LDAPChecking
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.846 | isValidUser:: False
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.846 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.956 | Common:: IsBase64 Checking START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.956 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.956 | Administration:: Entering LDAPChecking
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.956 | isValidUser:: True
[System: 192.168.1.110] INFO | 10-03-2025 19:41:36.956 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.301 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.301 | Common:: deCodeLevel1 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.301 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.301 | Common:: IsBase64 Checking START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.301 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.473 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.560 | Common:: IsBase64 Checking START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.560 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.560 | Administration:: Entering LDAPChecking
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.560 | isValidUser:: True
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.560 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:40.705 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.720 | Administration:: Entering InitLoginSession
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.752 | Administration:: Entering AllowSession  1
[System: 192.168.1.110] INFO | 10-03-2025 19:41:40.752 | Administration:: Entering AllowSession  end
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:40.752 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:40.877 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:42.814 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:42.830 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:42.830 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.127 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.127 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.455 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.486 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.517 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.533 | Administration:: Entering GetUserDetails
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.564 | Administration:: Exiting GetUserDetails
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.580 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.642 | Administration:: Entering GetUserDetails
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.705 | Administration:: Exiting GetUserDetails
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.720 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.845 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.845 | ReportLayout:: GetDataSet START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.876 | ReportLayout:: GetDataSet END
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.876 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.939 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.939 | ReportLayout:: GetDataSet START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.939 | ReportLayout:: GetDataSet END
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.955 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.955 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.955 | ReportLayout:: GetDataSet START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.986 | ReportLayout:: GetDataSet END
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:43.986 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:43.986 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:44.001 | ReportLayout:: GetDataSet START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:44.001 | ReportLayout:: GetDataSet END
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:44.001 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:44.033 | Common:: DecodeBase64 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:44.033 | Common:: deCodeLevel1 START
[System: 192.168.1.110] INFO | 10-03-2025 19:41:44.033 | Common:: DecodeBase64 START
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:44.205 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:44.423 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:44.439 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:50.111 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:50.157 | GetCostCenterSummary:: GetCostCenterSummary
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:50.173 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:52.021 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] INFO | 10-03-2025 19:41:52.036 | ControlGenerator:: Entering GetCostCenterQuickViewSummary
[System: 192.168.1.110] INFO | 10-03-2025 19:41:52.067 | ControlGenerator:: Exiting GetCostCenterQuickViewSummary
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:52.067 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.110] ERROR | 10-03-2025 19:41:52.224 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
