[Sys Thread: 82] INFO | 07/02/2026 13:00:47.256 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 82] INFO | 07/02/2026 13:00:47.256 | Installed Printers Count :3
[Sys Thread: 82] INFO | 07/02/2026 13:00:47.256 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 82] INFO | 07/02/2026 13:00:47.256 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.76] INFO | 07/02/2026 13:00:47.818 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:47.865 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:47.912 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 13:00:47.912 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 13:00:47.912 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] INFO | 07/02/2026 13:00:48.287 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:48.287 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:48.287 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:48.287 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:48.287 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.115 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.209 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.209 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.209 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.224 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.224 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] ERROR | 07/02/2026 13:00:49.490 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.521 | Administration:: Entering InitLoginSession
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.536 | Administration:: Entering AllowSession  1
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.536 | Administration:: Entering AllowSession  end
[System: 192.168.1.76] ERROR | 07/02/2026 13:00:49.536 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 13:00:49.646 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 13:00:49.677 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.76] INFO | 07/02/2026 13:00:49.677 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.76] ERROR | 07/02/2026 13:00:49.677 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 13:00:49.740 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 13:00:49.771 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 13:00:50.083 | RibbonGenerator:: Success: GetRibbonView
