[Sys Thread: 1] INFO | 07/02/2026 12:14:03.408 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 07/02/2026 12:14:03.408 | Installed Printers Count :3
[Sys Thread: 1] INFO | 07/02/2026 12:14:03.408 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 07/02/2026 12:14:03.408 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.76] INFO | 07/02/2026 12:14:06.891 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:06.891 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:06.891 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:06.891 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:06.891 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.001 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.001 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.001 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.157 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.157 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.157 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.157 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.157 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.344 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.344 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.344 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.344 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:07.344 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 12:14:09.656 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 07/02/2026 12:14:09.750 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:09.750 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 12:14:09.750 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 07/02/2026 12:14:09.750 | isValidUser:: True
[System: 192.168.1.76] INFO | 07/02/2026 12:14:09.750 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] ERROR | 07/02/2026 12:14:10.094 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 12:14:10.125 | Administration:: Entering InitLoginSession
[System: 192.168.1.76] INFO | 07/02/2026 12:14:10.156 | Administration:: Entering AllowSession  1
[System: 192.168.1.76] INFO | 07/02/2026 12:14:10.156 | Administration:: Entering AllowSession  end
[System: 192.168.1.76] ERROR | 07/02/2026 12:14:10.156 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 12:14:11.312 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 12:14:11.343 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.76] INFO | 07/02/2026 12:14:11.359 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.76] ERROR | 07/02/2026 12:14:11.359 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
