[Sys Thread: 34] INFO | 11-13-2025 15:30:21.978 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 34] INFO | 11-13-2025 15:30:21.978 | Installed Printers Count :3
[Sys Thread: 34] INFO | 11-13-2025 15:30:21.978 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 34] INFO | 11-13-2025 15:30:21.978 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.672 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.672 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.672 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.672 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.672 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.766 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.766 | isValidUser:: True
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.766 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.922 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.922 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.922 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.922 | isValidUser:: True
[System: 192.168.1.77] INFO | 11-13-2025 15:30:23.922 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.171 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.171 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.171 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.171 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.171 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.358 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.467 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.467 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.467 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.467 | isValidUser:: True
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.467 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:35.627 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.643 | Administration:: Entering InitLoginSession
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.674 | Administration:: Entering AllowSession  1
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.674 | Administration:: Entering AllowSession  end
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:35.674 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:35.846 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:35.861 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.77] INFO | 11-13-2025 15:30:35.877 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:35.877 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 11-13-2025 15:30:36.096 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:36.096 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:36.377 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 11-13-2025 15:30:36.392 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
