[Sys Thread: 1] INFO | 08-12-2025 16:14:31.429 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 08-12-2025 16:14:31.429 | Installed Printers Count :3
[Sys Thread: 1] INFO | 08-12-2025 16:14:31.429 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 08-12-2025 16:14:31.429 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.79] INFO | 08-12-2025 16:14:34.445 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 08-12-2025 16:14:34.445 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 08-12-2025 16:14:34.445 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 08-12-2025 16:14:37.076 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 08-12-2025 16:15:19.886 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 08-12-2025 16:15:19.886 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 08-12-2025 16:15:19.886 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 08-12-2025 16:15:19.933 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 08-12-2025 16:16:19.877 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 08-12-2025 16:16:19.877 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 08-12-2025 16:16:19.877 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 08-12-2025 16:16:19.940 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 08-12-2025 16:17:19.879 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 08-12-2025 16:17:19.879 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 08-12-2025 16:17:19.879 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 08-12-2025 16:17:19.942 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 08-12-2025 16:18:08.520 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 08-12-2025 16:18:15.734 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 08-12-2025 16:18:19.883 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 08-12-2025 16:18:19.883 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 08-12-2025 16:18:19.883 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 08-12-2025 16:18:19.914 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 08-12-2025 16:19:19.878 | Common:: DecodeBase64 START
