[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.629 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.661 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.676 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.817 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.832 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.832 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:37.832 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:37.832 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.660 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.660 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.676 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.676 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:42.676 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.707 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.707 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.707 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.707 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:42.722 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.722 | Common:: IsBase64 Checking START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.722 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.722 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.59] INFO | 11-11-2025 13:31:42.738 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.59] ERROR | 11-11-2025 13:31:42.738 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:32:18.162 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:32:18.178 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:32:18.178 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:32:18.225 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:32:27.835 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:32:27.835 | Common:: deCodeLevel1 START
