[Sys Thread: 1] INFO | 07/02/2026 14:35:09.129 | SessionManager :: InitOnLoad() :: Entering...
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.128 | ReportLayout:: GetDataSet END
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.128 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.143 | ReportLayout:: GetDataSet START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.159 | ReportLayout:: GetDataSet END
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.159 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.174 | ReportLayout:: GetDataSet START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.174 | ReportLayout:: GetDataSet END
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.174 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.190 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.190 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.190 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.237 | GetUploadedImage  -- Start::  
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.237 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 07/02/2026 14:35:15.237 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.237 | GetUploadedImage -- isYearMonthWiseFolder  -- ::  False
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.237 | GetUploadedImage -- FolderPath is found empty or not  -- ::  
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.237 | FtpPort  -- ::  0
[System: 192.168.1.76] DEBUG | 07/02/2026 14:35:15.237 | ftpDownload -- start  -- ::  
[System: 192.168.1.76] DEBUG | 07/02/2026 14:35:15.237 | ftpServerFile    :: ftp://192.168.1.132/FTPUploads/TT/fd403166-4104-4ac6-a298-19b759dba4a2.jpg
[System: 192.168.1.76] DEBUG | 07/02/2026 14:35:15.237 | ftpuserid     ::javed
[System: 192.168.1.76] DEBUG | 07/02/2026 14:35:15.237 | ftpDownload -- client.DownloadData(ftpServerFile)  -- ::  
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.284 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.284 | ftpDownload ERROR Exception:: The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
[System: 192.168.1.76] ERROR | 07/02/2026 14:35:15.284 | GetUploadedImage  -- End::  
