[Sys Thread: 1] INFO | 10-13-2025 19:23:42.310 | DBLOGGER Initiated
[System: 192.168.1.56] INFO | 10-13-2025 19:23:42.873 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_Login
[System: 192.168.1.56] INFO | 10-13-2025 19:23:42.935 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:23:42.951 | Model :: DBHandler :: :: Entering Get Method. CompanyIndex = 7;  SPName = spADM_GetDataSet
[System: 192.168.1.56] INFO | 10-13-2025 19:23:42.966 | Model :: DBHandler :: :: Exiting Get Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:23:59.395 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.56] INFO | 10-13-2025 19:23:59.441 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:23:59.613 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.56] INFO | 10-13-2025 19:23:59.613 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:03.973 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 7;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.036 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.161 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.176 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.192 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_Login
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.192 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.223 | Model :: DBHandler :: :: Entering Get Method. CompanyIndex = 7;  SPName = spADM_GetDataSet
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.223 | Model :: DBHandler :: :: Exiting Get Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.223 | Model :: DBHandler :: :: Entering Get Method. CompanyIndex = 7;  SPName = spADM_GetDataSet
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.223 | Model :: DBHandler :: :: Exiting Get Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.239 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_Login
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.254 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.254 | Model :: DBHandler :: :: Entering Get Method. CompanyIndex = 7;  SPName = spADM_GetDataSet
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.270 | Model :: DBHandler :: :: Exiting Get Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.410 | Model :: DBHandler :: :: Entering Get Method. CompanyIndex = 7;  SPName = spADM_GetDataSet
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.419 | Model :: DBHandler :: :: Exiting Get Method.
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.419 | Model :: DBHandler :: :: Entering Get Method. CompanyIndex = 7;  SPName = spADM_GetDataSet
[System: 192.168.1.56] INFO | 10-13-2025 19:24:04.419 | Model :: DBHandler :: :: Exiting Get Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:43:44.413 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.54] INFO | 10-13-2025 19:43:44.476 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:43:44.522 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:43:44.538 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:43:45.945 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 7;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:43:46.007 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:43:46.054 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:43:46.054 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:04.619 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.54] INFO | 10-13-2025 19:44:04.682 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:04.697 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:44:04.713 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:06.331 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 7;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:44:06.378 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:06.425 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:44:06.425 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:13.815 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 16;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:44:16.927 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:16.958 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:44:16.958 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:20.440 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 43;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:44:24.647 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:24.678 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:44:24.694 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:26.896 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 45;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:44:34.389 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:34.420 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:44:34.420 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:40.935 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 54;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:44:43.793 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:43.808 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:44:43.808 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:52.936 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 113;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:44:55.233 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:44:55.280 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:44:55.280 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:45:17.327 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_GetClientUserDetails2C
[System: 192.168.1.54] INFO | 10-13-2025 19:45:17.630 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:45:17.677 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:45:17.938 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:45:20.646 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 7;  SPName = spADM_GetClientUserDetails
[System: 192.168.1.54] INFO | 10-13-2025 19:45:21.083 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
[System: 192.168.1.54] INFO | 10-13-2025 19:45:21.165 | Model :: DBHandler :: :: Entering Get-ReturnValue Method. CompanyIndex = 0;  SPName = spADM_UserLoginCheck
[System: 192.168.1.54] INFO | 10-13-2025 19:45:21.603 | Model :: DBHandler :: :: Exiting Get-ReturnValue Method.
