[Sys Thread: 1] INFO | 10-14-2025 17:41:12.462 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 10-14-2025 17:41:12.462 | Installed Printers Count :3
[Sys Thread: 1] INFO | 10-14-2025 17:41:12.462 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 10-14-2025 17:41:12.462 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.146] INFO | 10-14-2025 17:41:16.632 | Common:: DecodeBase64 START
[System: 192.168.1.146] INFO | 10-14-2025 17:41:16.632 | Common:: deCodeLevel1 START
[System: 192.168.1.146] INFO | 10-14-2025 17:41:16.632 | Common:: DecodeBase64 START
[System: 192.168.1.146] ERROR | 10-14-2025 17:41:22.131 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-14-2025 17:41:31.968 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:31.968 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:31.968 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:31.968 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:31.968 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.047 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.062 | isValidUser:: True
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.062 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.140 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.140 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.140 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.140 | isValidUser:: True
[System: 192.168.1.99] INFO | 10-14-2025 17:41:32.140 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.682 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.682 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.682 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.682 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.682 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.776 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.839 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.839 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.839 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.839 | isValidUser:: True
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.839 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] ERROR | 10-14-2025 17:41:40.886 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.901 | Administration:: Entering InitLoginSession
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.917 | Administration:: Entering AllowSession  1
[System: 192.168.1.99] INFO | 10-14-2025 17:41:40.917 | Administration:: Entering AllowSession  end
[System: 192.168.1.99] ERROR | 10-14-2025 17:41:40.932 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
